game_id,possession_id,wall_clock_ts,entry_price,exit_price,exit_reason,entry_side,hold_time_s,gross_pnl,net_pnl,run_prob,traj_final,traj_used,traj_aggregator,hazard_final,quarter,score_diff,run_length,fees,entry_tick_age_s
0042500101,20,2026-04-19 22:49:52+00:00,47.0,52.0,take_profit,1,52.169598,5.0,499.12,0.31528735160827637,0.08488020300865173,0.08517856150865555,mean,0.9794220924377441,1,-12,5,0.88,0.830848
0042500101,124,2026-04-20 00:12:51+00:00,60.0,55.0,take_profit,-1,16.170091,5.0,499.13,0.16492252051830292,-0.16066400706768036,-0.13633728474378587,mean,0.9990654587745667,3,-3,4,0.87,0.830397
0042500102,95,2026-04-23 00:27:45.916667+00:00,65.0,64.0,momentum_flip,-1,56.206805,1.0,97.98,0.18347246944904327,-0.11162292957305908,-0.09228395074605941,mean,0.9968482851982117,2,0,2,2.02,21.793243
0042500103,110,2026-04-25 18:36:51+00:00,67.0,70.0,stop_loss,-1,13.199704,-3.0,-301.87,0.2922567129135132,-0.15862664580345154,-0.1349551945924759,mean,0.9628443121910095,3,3,2,1.87,0.796268
0042500103,111,2026-04-25 18:37:24.916667+00:00,70.0,71.0,momentum_flip,-1,184.283314,-1.0,-101.82,0.1938396394252777,-0.13017451763153076,-0.10978404507040977,mean,0.9730833172798157,3,3,2,1.8199999999999998,0.716368
0042500106,46,2026-05-01 23:44:11.250000+00:00,45.0,48.0,stop_loss,-1,37.864712,-3.0,-302.19,0.1942487508058548,-0.09860889613628387,-0.08141758814454078,mean,0.9931061863899231,2,3,2,2.19,0.13613
0042500106,48,2026-05-01 23:47:15+00:00,57.0,57.0,momentum_flip,-1,168.11374,-0.0,-2.15,0.2953926920890808,-0.10512129962444305,-0.08752286583185195,mean,0.9953628778457642,2,5,3,2.15,1.886008
0042500107,19,2026-05-03 19:54:34+00:00,68.0,71.0,stop_loss,-1,38.165171,-3.0,-301.84,0.2311534881591797,-0.1487250030040741,-0.12531776279211043,mean,0.9840595722198486,1,2,2,1.8399999999999999,0.834853
0042500107,77,2026-05-03 20:37:00+00:00,70.0,74.0,stop_loss,-1,16.165584,-4.0,-401.72,0.19419296085834503,-0.12923148274421692,-0.10773829594254494,mean,0.9938806295394897,2,1,3,1.7200000000000002,1.833283
0042500117,68,2026-05-03 00:24:38.833333+00:00,41.0,44.0,stop_loss,-1,11.297445,-3.0,-302.16,0.2576848566532135,-0.13423925638198853,-0.11388901695609092,mean,0.9976682066917419,2,-2,2,2.16,0.702909
