game_id,possession_id,wall_clock_ts,entry_price,exit_price,exit_reason,entry_side,hold_time_s,gross_pnl,net_pnl,run_prob,traj_final,traj_used,traj_aggregator,hazard_final,quarter,score_diff,run_length
0042500107,70,2026-05-03 20:28:37.333333+00:00,70.0,66.0,momentum_flip,-1,194.832099,4.0,400.0,0.17793260514736176,-0.08873842656612396,-0.08873842656612396,final,0.9912735819816589,2,-4,3
0042500107,77,2026-05-03 20:37:00+00:00,70.0,82.0,stop_loss,-1,313.165436,-12.0,-1200.0,0.21851296722888947,-0.09536893665790558,-0.09536893665790558,final,0.9875360131263733,2,1,3
0042500112,69,2026-04-22 00:09:04+00:00,61.0,65.0,momentum_flip,1,52.206521,4.0,400.0,0.142938494682312,0.14087000489234924,0.14087000489234924,final,0.9946172833442688,2,3,2
0042500112,75,2026-04-22 00:15:20+00:00,54.0,53.0,momentum_flip,-1,180.206444,1.0,100.0,0.21060042083263397,-0.10435803234577179,-0.10435803234577179,final,0.9737561941146851,2,-4,2
0042500115,159,2026-04-29 01:09:33+00:00,43.0,30.0,momentum_flip,-1,177.116211,13.0,1300.0,0.20233969390392303,-0.13401179015636444,-0.13401179015636444,final,0.9563694596290588,4,-4,3
0042500117,161,2026-05-03 01:39:16.388889+00:00,35.0,25.0,momentum_flip,-1,107.742144,10.0,1000.0,0.16768071055412292,-0.15418066084384918,-0.15418066084384918,final,0.9779977202415466,4,-1,2
0042500123,22,2026-04-23 23:25:02.666667+00:00,49.0,48.0,momentum_flip,-1,112.443385,1.0,100.0,0.13748806715011597,-0.09548632800579071,-0.09548632800579071,final,0.9742117524147034,1,-3,3
0042500123,99,2026-04-24 00:24:47+00:00,61.0,74.0,stop_loss,-1,392.10878,-13.0,-1300.0,0.13824671506881714,-0.08505690842866898,-0.08505690842866898,final,0.9765609502792358,2,9,4
0042500123,164,2026-04-24 01:10:57.083333+00:00,66.0,68.0,momentum_flip,1,42.024497,2.0,200.0,0.09826017916202545,0.25856077671051025,0.25856077671051025,final,0.9974808096885681,4,10,3
0042500123,180,2026-04-24 01:22:11.111111+00:00,56.0,59.0,momentum_flip,1,105.996744,3.0,300.0,0.0815267339348793,0.1063111275434494,0.1063111275434494,final,0.9828365445137024,4,4,2
0042500124,41,2026-04-25 22:42:14.500000+00:00,30.0,26.0,momentum_flip,-1,308.608869,4.0,400.0,0.11998949944972992,-0.0952908918261528,-0.0952908918261528,final,0.9886083602905273,1,-8,2
0042500126,6,2026-04-30 23:16:39.583333+00:00,41.0,45.0,momentum_flip,-1,41.560467,-4.0,-400.0,0.11810469627380371,-0.10391724109649658,-0.10391724109649658,final,0.9966993927955627,1,-3,2
0042500134,164,2026-04-26 19:17:27.916667+00:00,46.0,45.0,momentum_flip,-1,26.27127,1.0,100.0,0.12799298763275146,-0.0895521342754364,-0.0895521342754364,final,0.9926058053970337,4,4,4
0042500135,103,2026-04-30 01:01:37.825000+00:00,54.0,48.0,momentum_flip,-1,371.293664,6.0,600.0,0.13689778745174408,-0.08927704393863678,-0.08927704393863678,final,0.9833940863609314,2,-9,4
0042500135,135,2026-04-30 01:25:40+00:00,57.0,54.0,momentum_flip,-1,397.118557,3.0,300.0,0.19604864716529846,-0.11599333584308624,-0.11599333584308624,final,0.9955123066902161,3,-4,2
0042500135,149,2026-04-30 01:35:02.250000+00:00,45.0,39.0,momentum_flip,-1,146.869567,6.0,600.0,0.15637844800949097,-0.10652492940425873,-0.10652492940425873,final,0.9969196319580078,3,-8,2
0042500135,163,2026-04-30 01:44:12.722222+00:00,63.0,76.0,stop_loss,-1,56.396155,-13.0,-1300.0,0.1884910613298416,-0.14697585999965668,-0.14697585999965668,final,0.9787220358848572,4,-3,3
0042500135,170,2026-04-30 01:51:48.888889+00:00,70.0,83.0,stop_loss,-1,277.229525,-13.0,-1300.0,0.11004983633756638,-0.2593817114830017,-0.2593817114830017,final,0.9783929586410522,4,5,6
0042500136,49,2026-05-02 00:16:12+00:00,42.0,42.0,time_gate,-1,600.0,-0.0,-0.0,0.1964416801929474,-0.09293556213378906,-0.09293556213378906,final,0.9904877543449402,2,2,3
0042500136,77,2026-05-02 00:41:56+00:00,40.0,52.0,stop_loss,-1,195.016481,-12.0,-1200.0,0.1393326371908188,-0.08302493393421173,-0.08302493393421173,final,0.9831074476242065,2,4,2
0042500136,141,2026-05-02 01:32:21.666667+00:00,65.0,64.0,momentum_flip,-1,41.349827,1.0,100.0,0.1744449883699417,-0.10898052155971527,-0.10898052155971527,final,0.9967206120491028,3,10,2
0042500136,144,2026-05-02 01:34:38.750000+00:00,68.0,68.0,momentum_flip,-1,140.266744,-0.0,-0.0,0.12852881848812103,-0.09708951413631439,-0.09708951413631439,final,0.9969931840896606,3,11,2
