player_id,player_name,star_tier,team_tricode,team_id
203937,Anderson,5,UTA,29.0
1631132,Koloko,5,ATL,1.0
1627751,Poeltl,4,TOR,28.0
1626168,Lyles,5,SAC,26.0
1641989,Harkless,5,UTA,29.0
1642396,Hinson,5,UTA,29.0
1631247,Travers,5,CLE,6.0
1641871,Reath,5,POR,25.0
1642967,Poulakidas,5,DAL,7.0
1630644,McClung,5,CHI,5.0
1630623,Etienne,5,BKN,3.0
1628427,Čančar,5,DEN,8.0
1641761,Nelson,5,BKN,3.0
1641766,Sanogo,5,CHI,5.0
1641801,Miller,4,CHI,5.0
1630227,Nix,5,MIN,18.0
1642385,Yongxi,5,BKN,3.0
1631212,Watson,5,DEN,8.0
1630172,Williams,5,CHI,5.0
1629628,Barrett,5,TOR,28.0
1631217,Diabate,5,CHA,4.0
1631207,Terry,5,CHI,5.0
1628978,DiVincenzo,5,MIN,18.0
203482,Olynyk,5,SAS,27.0
1641775,Walsh,5,BOS,2.0
1629111,Landale,5,MEM,15.0
2544,James,1,LAL,14.0
1629652,Dort,4,OKC,21.0
1628381,Collins,5,LAC,13.0
1629639,Herro,3,MIA,16.0
1630202,Pritchard,5,BOS,2.0
1631321,Cissoko,5,POR,25.0
1628392,Hartenstein,4,OKC,21.0
1641729,Sensabaugh,5,UTA,29.0
1626181,Powell,2,MIA,16.0
1641842,Holland II,5,DET,9.0
1630541,Moody,5,GSW,10.0
1630163,Ball,5,CHA,4.0
1630578,Sengun,2,HOU,11.0
1628989,Huerter,5,CHI,5.0
1642358,Johnson,4,DAL,7.0
1642962,Powell,5,BKN,3.0
1627826,Zubac,5,LAC,13.0
203078,Beal,5,LAC,13.0
1630567,Barnes,2,TOR,28.0
203915,Dinwiddie,5,DAL,7.0
202695,Leonard,2,LAC,13.0
1642377,Wells,5,MEM,15.0
1641717,Wallace,5,OKC,21.0
1642404,Lanier,5,DET,9.0
1630556,Edwards,5,DAL,7.0
1642877,Peavy,5,NOP,19.0
1631101,Sharpe,5,POR,25.0
1629731,Wade,5,CLE,6.0
